id,employee_id,name_zh,department,departments,name_en_list
99,gen_732401c2,Xiangqun Dong,"Department of Neurosurgery, State Key Laboratory of Biotherapy and Cancer Center, West China Hospital, Sichuan University, Chengdu, China",,"""[]"""
100,gen_9bb7bac3,Xiaodong Guo,"School of Chemical Engineering, Sichuan University, Chengdu , China",,"""[]"""
101,gen_be04f458,Xiaohan Guo,"Department of Biotherapy, Cancer Center and State Key Laboratory of Biotherapy, West China Hospital, and West China School of Basic Medical Sciences and Forensic Medicine, Sichuan University, and Collaborative Innovation Center for Biotherapy, Chengdu, China",,"""[]"""
102,gen_4749a1b3,Xiaolan Li,"Department of Neurology and State Key Laboratory of Biotherapy, West China Hospital, Sichuan University, Chengdu, Sichuan, China",,"""[]"""
103,gen_7c449d77,Xin Yang,"State Key Laboratory of Polymer Materials Engineering, Polymer Research Institute, Sichuan University, Chengdu, China",,"""[]"""
104,gen_c83c0124,Xing Li,"National Engineering Research Center for Biomaterials, Sichuan University, Chengdu, Sichuan, China",,"""[]"""
105,gen_306ec32d,Xingdong Zhang,"National Engineering Research Center for Biomaterials, Sichuan University, Chengdu, Sichuan, China",,"""[]"""
106,gen_69492691,Xingyu Chen,"Department of Biotherapy, Cancer Center and State Key Laboratory of Biotherapy, West China Hospital, and West China School of Basic Medical Sciences and Forensic Medicine, Sichuan University, and Collaborative Innovation Center for Biotherapy, Chengdu, China",,"""[]"""
107,gen_f02cc8bf,Xinxing Zhang,"State Key Laboratory of Polymer Materials Engineering, Polymer Research Institute, Sichuan University, Chengdu, China",,"""[]"""
108,gen_60d70bfb,Xinyi Li,"Laboratory of Molecular Oncology, Frontiers Science Center for Disease-related Molecular Network, National Clinical Research Center for Geriatrics, West China Hospital, Sichuan University, Chengdu, China",,"""[]"""
109,gen_c1110d9d,Xueqi Gan,"State Key Laboratory of Oral Diseases, National Clinical Research Center for Oral Diseases, West China Hospital of Stomatology, Sichuan University, Sichuan, Chengdu, China",,"""[]"""
110,gen_149c09db,Xuhui Hui,"Department of Neurosurgery, West China Hospital, Sichuan University, Chengdu, Sichuan, China",,"""[]"""
111,gen_61b5e2dd,Xulong Ding,"Department of Neurology and State Key Laboratory of Biotherapy, West China Hospital, Sichuan University, Chengdu, Sichuan, China",,"""[]"""
112,gen_4472aa37,Xuping Sun,"High Altitude Medical Center, West China Hospital, Sichuan University, Chengdu, Sichuan, China",,"""[]"""
113,gen_9fe4e27c,Yan Ju,"Department of Neurosurgery, West China Hospital, Sichuan University, Chengdu, China",,"""[]"""
114,gen_f68201e9,Yan Zhang,"National Clinical Research Center for Geriatrics, West China Hospital, Sichuan University, Chengdu, China",,"""[]"""
